Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tirzepatide-5mg,,,,,,,,,Vial,,,60mg,,,,,,0.0,shopify,1000,deny,manual,230.00,302.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_14.png?v=1776996808,8,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_16.png?v=1776996808,kg,,23.00,
tirzepatide-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_16.png?v=1776996808,9,"",,,,,,,,
thymosin-alpha-1-5mg,Thymosin Alpha-1,"<p>
  This batch of Thymosin Alpha-1 Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Thymosin Alpha-1 (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.0%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,79.00,104.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/ThymosinAlpha-1.png?v=1776996806,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymosin_Alpha-1_2.png?v=1776996806,kg,,9.00,draft
thymosin-alpha-1-5mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,125.00,164.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymosin_Alpha-1_2.png?v=1776996806,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymosin_Alpha-1_4.png?v=1776996806,kg,,17.00,
thymosin-alpha-1-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymosin_Alpha-1_4.png?v=1776996806,3,"",,,,,,,,
thymalin-10mg,Thymalin,"<p>
  This batch of Thymalin Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Thymalin (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,,,,,,,,0.0,shopify,1000,deny,manual,70.00,92.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymalin.png?v=1776996805,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymalin_2.png?v=1776996805,kg,,7.00,draft
thymalin-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Thymalin_2.png?v=1776996805,2,"",,,,,,,,
tesamorelin-10mg,Tesamorelin,"<p data-start=""148"" data-end=""388"">
  This batch of Tesamorelin Growth Hormone Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p data-start=""531"" data-end=""756"">
  Contents: Tesamorelin<br>
  Form: Lyophilized Powder<br>
  Purity: 99.7%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,80.00,105.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tesamorelin.png?v=1776996803,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tesamorelin_2.png?v=1776996803,kg,,12.00,draft
tesamorelin-10mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,110.00,144.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tesamorelin_2.png?v=1776996803,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tesamorelin_4.png?v=1776996803,kg,,22.00,
tesamorelin-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tesamorelin_4.png?v=1776996803,3,"",,,,,,,,
tb-500-10mg,TB-500,"<p>
  This batch of TB-500 Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: TB-500 (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.5%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p> ",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,60.00,78.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/TB-500.png?v=1776996802,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/TB-500_2.png?v=1776996802,kg,,9.00,draft
tb-500-10mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,98.00,128.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/TB-500_2.png?v=1776996802,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/TB-500_4.png?v=1776996803,kg,,16.00,
tb-500-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/TB-500_4.png?v=1776996803,3,"",,,,,,,,
sterile-water,Sterile Water,"<p>
  This batch of Sterile Water Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Sterile Water (H₂O)<br>
  Form: Liquid Solution<br>
  Purity: 99.9%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Laboratory Chemicals > Solvents,"","",false,Type,Vial,,Weight,3ml,,,,,,0.0,shopify,1000,deny,manual,14.00,19.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SterileWater.png?v=1776996799,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sterile_Water_2.png?v=1776996799,kg,,1.00,draft
sterile-water,,,,,,,,,Vial,,,10ml,,,,,,0.0,shopify,1000,deny,manual,19.00,25.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sterile_Water_2.png?v=1776996799,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sterile_Water_4.png?v=1776996799,kg,,1.00,
sterile-water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sterile_Water_4.png?v=1776996799,3,"",,,,,,,,
ss-31-10mg,SS-31,"<p>
  This batch of SS-31 (Elamipretide) Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: SS-31 (Elamipretide) (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.5%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,10mg,,,,,,0.0,shopify,999,deny,manual,100.00,132.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SS-31.png?v=1776996800,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SS-31_2_38dbb2eb-4786-49e7-9d9a-27a332eab2df.png?v=1776996798,kg,,10.00,draft
ss-31-10mg,,,,,,,,,Vial,,,50mg,,,,,,0.0,shopify,998,deny,manual,380.00,520.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SS-31_2_38dbb2eb-4786-49e7-9d9a-27a332eab2df.png?v=1776996798,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SS-31_4.png?v=1776996798,kg,,44.00,
ss-31-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SS-31_4.png?v=1776996798,3,"",,,,,,,,
snap-8-10mg,Snap-8,"<p>
  This batch of Snap-8 Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Snap-8 (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care,"","",false,Type,Vial,,,,,,,,,0.0,shopify,1000,deny,manual,50.00,67.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SNAP-8.png?v=1776996796,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SNAP-8_2.png?v=1776996797,kg,,5.00,draft
snap-8-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SNAP-8_2.png?v=1776996797,2,"",,,,,,,,
slu-pp-322-5mg,SLU-PP-332,"<p>
  This batch of SLU-PP-332 Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: SLU-PP-332 (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Health & Beauty > Health Care > Medicine & Drugs,"","",false,Type,Vial,,,,,,,,,0.0,shopify,1000,deny,manual,125.00,164.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SLU-PP-332.png?v=1776996795,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SLU-PP-332_2.png?v=1776996795,kg,,14.00,draft
slu-pp-322-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/SLU-PP-332_2.png?v=1776996795,2,"",,,,,,,,
sermorelin-5mg,Sermorelin,"<p>
  This batch of Sermorelin Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Sermorelin (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,70.00,92.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sermorelin.png?v=1776996793,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sermorelin_2.png?v=1776996794,kg,,8.00,draft
sermorelin-5mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,999,deny,manual,111.00,147.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sermorelin_2.png?v=1776996794,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sermorelin_4.png?v=1776996793,kg,,12.00,
sermorelin-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Sermorelin_4.png?v=1776996793,3,"",,,,,,,,
semax-5mg,Semax,"<p>
  This batch of Semax Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Semax (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.0%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,997,deny,manual,40.00,54.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semax.png?v=1776996792,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semax_2.png?v=1776996792,kg,,4.00,draft
semax-5mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,60.00,78.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semax_2.png?v=1776996792,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semax_4.png?v=1776996792,kg,,6.00,
semax-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semax_4.png?v=1776996792,3,"",,,,,,,,
semaglutide-2mg,Semaglutide,"<p>
  This batch of Semaglutide Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Semaglutide (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,2mg,,,,,,0.0,shopify,1000,deny,manual,36.00,47.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide.png?v=1776996790,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_2.png?v=1776996791,kg,,4.00,draft
semaglutide-2mg,,,,,,,,,Vial,,,5mg,,,,,,0.0,shopify,999,deny,manual,42.00,55.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_2.png?v=1776996791,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_4.png?v=1776996791,kg,,4.00,
semaglutide-2mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,64.00,84.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_4.png?v=1776996791,3,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_6.png?v=1776996791,kg,,6.00,
semaglutide-2mg,,,,,,,,,Vial,,,15mg,,,,,,0.0,shopify,999,deny,manual,78.00,102.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_6.png?v=1776996791,4,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_8.png?v=1776996791,kg,,8.00,
semaglutide-2mg,,,,,,,,,Vial,,,20mg,,,,,,0.0,shopify,1000,deny,manual,100.00,132.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_8.png?v=1776996791,5,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_10.png?v=1776996790,kg,,10.00,
semaglutide-2mg,,,,,,,,,Vial,,,30mg,,,,,,0.0,shopify,1000,deny,manual,128.00,167.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_10.png?v=1776996790,6,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_12.png?v=1776996790,kg,,13.00,
semaglutide-2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Semaglutide_12.png?v=1776996790,7,"",,,,,,,,
selank-5mg,Selank,"<p>
  This batch of Selank Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Selank (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.0%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,998,deny,manual,39.00,51.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Selank.png?v=1776996789,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Selank_2.png?v=1776996789,kg,,,draft
selank-5mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,59.00,87.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Selank_2.png?v=1776996789,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Selank_4.png?v=1776996789,kg,,,
selank-5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Selank_4.png?v=1776996789,3,"",,,,,,,,
